,GeoFips,GeoName,Year,Real GDP,Population,state,code,Real GDP per capita,log GDP per capita
248,49000,Utah,2001,93556700000.0,2283715.0,Utah,UT,40966.88947613866,10.62051944567038
249,50000,Vermont,2001,23752400000.0,612223.0,Vermont,VT,38796.974305114316,10.566097540743673
250,51000,Virginia,2001,360601100000.0,7198362.0,Virginia,VA,50094.88269692466,10.821674140078178
251,53000,Washington,2001,303673800000.0,5985722.0,Washington,WA,50733.02769490464,10.834332411312914
252,54000,West Virginia,2001,61818600000.0,1801481.0,West Virginia,WV,34315.43269121351,10.443350464653111
253,55000,Wisconsin,2001,236088700000.0,5406835.0,Wisconsin,WI,43664.861235824654,10.684298966915946
254,56000,Wyoming,2001,29130500000.0,494657.0,Wyoming,WY,58890.301764657124,10.983431700134302
255,01000,Alabama,2002,160422400000.0,4480089.0,Alabama,AL,35807.86006706563,10.485922703236099
256,02000,Alaska,2002,42979000000.0,642337.0,Alaska,AK,66910.36013805837,11.111109094187402
257,04000,Arizona,2002,220696700000.0,5396255.0,Arizona,AZ,40898.12286483867,10.618839445252435
258,05000,Arkansas,2002,92950500000.0,2705927.0,Arkansas,AR,34350.704952498716,10.444377820074514
259,06000,California,2002,1722522400000.0,34871843.0,California,CA,49395.794767715604,10.807620573392974
260,08000,Colorado,2002,235417300000.0,4490406.0,Colorado,CO,52426.7293425138,10.867171842207727
261,09000,Connecticut,2002,216677700000.0,3458749.0,Connecticut,CT,62646.26314311909,11.045259311986934
262,10000,Delaware,2002,56534500000.0,806169.0,Delaware,DE,70127.35543043705,11.15806823128674
263,11000,District of Columbia,2002,91141500000.0,573158.0,District of Columbia,DC,159016.3619804661,11.97676238144548
264,12000,Florida,2002,689974000000.0,16689370.0,Florida,FL,41342.12375901547,10.629637204896751
265,13000,Georgia,2002,399413400000.0,8508256.0,Georgia,GA,46944.21512469771,10.756715263513533
266,15000,Hawaii,2002,56990800000.0,1239613.0,Hawaii,HI,45974.67112719857,10.735845896150549
267,16000,Idaho,2002,47056800000.0,1340372.0,Idaho,ID,35107.26872838286,10.466163474293268
268,17000,Illinois,2002,647517800000.0,12525556.0,Illinois,IL,51695.73310757622,10.853130525322236
