,GeoName,Year,Real GDP per capita,log GDP per capita
809,Shanxi,1996,5751565997.411298,22.472738002051734
810,Inner Mongolia,1996,6110267631.14091,22.53323641132135
811,Liaoning,1996,9877833874.554222,23.013559081202654
812,Jilin,1996,6680103335.496756,22.622399293761056
813,Heilongjiang,1996,7397726342.789016,22.724438538970826
814,Shanghai,1996,27772413615.284916,24.047309048974586
815,Jiangsu,1996,11042347914.876347,23.12500352863251
816,Zhejiang,1996,12159366823.184433,23.22136564166691
817,Anhui,1996,4882167606.488419,22.30885513984946
818,Fujian,1996,9535232231.471872,22.978259431388814
819,Jiangxi,1996,4497543419.251501,22.2267971778283
820,Shandong,1996,8987367364.802774,22.91908580214368
821,Henan,1996,5336435919.88212,22.397823836353783
822,Hubei,1996,5760946123.324999,22.474367555687124
823,Hunan,1996,5498531875.858025,22.427746961890062
824,Guangdong,1996,11035553621.491318,23.12438804499261
825,Guangxi,1996,4594376048.244559,22.24809879425085
826,Hainan,1996,6398039990.265059,22.57925752888638
827,Chongqing,1996,5730924927.827446,22.469142773115514
828,Sichuan,1996,5076378707.542492,22.347863991490435
829,Guizhou,1996,2810310299.872897,21.756560741196484
830,Yunnan,1996,5239585362.836915,22.37950820291888
831,Tibet,1996,,
832,Shaanxi,1996,4591002033.950594,22.247364145243367
833,Gansu,1996,4103748883.959677,22.135166754823825
834,Qinghai,1996,5997940751.327508,22.514682039153
835,Ningxia,1996,5432842174.490754,22.415728254671944
836,Xinjiang,1996,7082147566.42851,22.68084302724882
837,Beijing,1995,20864259007.0262,23.761303436677355
838,Tianjin,1995,14472906560.766367,23.395544225474243
839,Hebei,1995,6275604485.853044,22.55993564973145
840,Shanxi,1995,5656626612.774756,22.45609354666992
841,Inner Mongolia,1995,6076131291.89581,22.527634029724265
842,Liaoning,1995,10207112041.798096,23.04635057326433
843,Jilin,1995,6542197517.391067,22.60153895780968
844,Heilongjiang,1995,7247092952.041251,22.703866253269933
845,Shanghai,1995,28374589694.235706,24.068759852528387
846,Jiangsu,1995,11048086129.4344,23.125523048952992
847,Zhejiang,1995,12110780370.646563,23.217361832620746
848,Anhui,1995,4846432723.743005,22.301508750389882
849,Fujian,1995,9375197714.855703,22.96133349816511
850,Jiangxi,1995,4410802848.370828,22.20732256162052
851,Shandong,1995,8931913736.10539,22.912896513030102
852,Henan,1995,5152658886.487386,22.36277870702926
853,Hubei,1995,5886829010.083805,22.495983321230778
854,Hunan,1995,5545997123.264812,22.436342265435357
855,Guangdong,1995,11181931075.118742,23.13756501561832
856,Guangxi,1995,4849677566.28862,22.30217805850823
857,Hainan,1995,6877360417.930811,22.65150075509079
858,Chongqing,1995,,
859,Sichuan,1995,5156392445.734193,22.363503033505037
860,Guizhou,1995,3041891944.134493,21.835745508829305
861,Yunnan,1995,5185066776.953847,22.369048557417457
862,Tibet,1995,,
863,Shaanxi,1995,4700714459.225066,22.270980346710758
864,Gansu,1995,3858270593.6246777,22.073484887286774
865,Qinghai,1995,6544749595.711495,22.601928976708777
866,Ningxia,1995,5587286557.937154,22.4437595962347
867,Xinjiang,1995,7811041027.951228,22.77880408614703
868,Beijing,1994,20991321396.152206,23.76737492240166
869,Tianjin,1994,14239182971.962345,23.37926336571976
870,Hebei,1994,6071817192.605884,22.526923769966942
871,Shanxi,1994,5498447055.727002,22.4277315358114
872,Inner Mongolia,1994,6125304140.20345,22.535694247687825
873,Liaoning,1994,11254570923.73976,23.14404018741001
874,Jilin,1994,6554595293.785905,22.603432212177648
875,Heilongjiang,1994,7205990771.853409,22.69817856865165
876,Shanghai,1994,28124893304.926437,24.059920903861183
877,Jiangsu,1994,10788197224.839174,23.101718523929158
878,Zhejiang,1994,11474881124.701769,23.163426233336246
879,Anhui,1994,4521358475.832581,22.232078333385694
880,Fujian,1994,9333355014.03868,22.956860381383525
881,Jiangxi,1994,4592267176.605046,22.247639677329698
882,Shandong,1994,8585970893.7243185,22.873395416773818
883,Henan,1994,4827095862.951594,22.29751085316479
884,Hubei,1994,6009862293.151269,22.516667672277823
885,Hunan,1994,5440971557.021622,22.417223476908806
886,Guangdong,1994,10918161699.628874,23.113693450567148
887,Guangxi,1994,4947287602.050786,22.322105304160853
888,Hainan,1994,8092320913.299472,22.814181413559897
889,Chongqing,1994,,
890,Sichuan,1994,4936356996.551321,22.31989344600534
891,Guizhou,1994,3123779808.540777,21.862309582617975
892,Yunnan,1994,5041909824.617062,22.341050780708304
893,Tibet,1994,,
894,Shaanxi,1994,4869096746.336493,22.306174283807138
895,Gansu,1994,3957278956.9677396,22.0988224939505
896,Qinghai,1994,6675823436.461815,22.621758394892037
897,Ningxia,1994,5465656126.081363,22.42175001103555
898,Xinjiang,1994,8185053810.599114,22.82557562204223
899,Beijing,1993,19512331698.950546,23.69431249745675
900,Tianjin,1993,12530334049.175688,23.251418265449193
901,Hebei,1993,5344437604.841127,22.39932215696163
902,Shanxi,1993,5266583446.813111,22.384647686948366
903,Inner Mongolia,1993,5473264128.663376,22.423141008251278
